,device_brand,5g,internal_memory,ram,days_used,price
1781,11,0,16.0,4.0,810,22940
1782,11,0,16.0,4.0,1054,21080
1783,11,0,16.0,4.0,631,20336
1784,11,0,16.0,4.0,766,18228
1785,11,0,128.0,4.0,564,24428
1786,11,0,64.0,4.0,295,30070
1787,11,0,32.0,4.0,635,27962
1788,11,0,16.0,4.0,698,25792
1789,11,0,64.0,4.0,605,28520
1790,11,0,128.0,4.0,653,29264
1791,11,0,64.0,4.0,712,28024
1792,11,0,32.0,4.0,606,26412
1793,11,0,64.0,4.0,726,30814
1794,11,0,128.0,4.0,576,29016
1795,11,0,256.0,4.0,513,30566
1796,11,0,16.0,4.0,564,27652
1797,11,0,32.0,4.0,520,25978
1798,11,0,64.0,4.0,530,28892
1799,11,0,64.0,4.0,588,28148
1800,11,0,64.0,4.0,722,30938
1801,11,0,64.0,4.0,637,29884
1802,11,0,32.0,4.0,675,27466
1803,11,0,32.0,4.0,764,26598
1804,11,0,16.0,4.0,786,28086
1805,11,0,64.0,4.0,848,32240
1806,11,0,64.0,4.0,785,31062
1807,11,0,16.0,4.0,801,24428
1808,11,0,64.0,4.0,650,27094
1809,11,0,16.0,4.0,606,25234
1810,11,0,16.0,4.0,789,27900
1811,11,0,64.0,4.0,762,31744
1812,11,0,16.0,4.0,718,26660
1813,11,0,32.0,4.0,908,25172
1814,11,0,32.0,4.0,1054,25730
1815,11,0,64.0,4.0,1084,31744
1816,11,0,32.0,4.0,931,25978
1817,11,0,64.0,4.0,757,29822
1818,11,0,32.0,4.0,704,28272
1819,11,0,32.0,4.0,606,27590
1820,11,0,32.0,4.0,789,25730
1821,11,0,32.0,4.0,869,25420
1822,11,0,32.0,4.0,1063,30504
1823,11,0,32.0,4.0,959,28210
1824,11,0,16.0,4.0,966,27404
1825,11,0,32.0,4.0,752,30008
1826,11,0,16.0,4.0,791,24862
1827,11,0,16.0,4.0,944,29698
1828,11,0,16.0,4.0,725,28272
1829,11,0,16.0,4.0,986,25854
1830,11,0,32.0,4.0,629,27156
1831,11,0,16.0,4.0,1043,30194
1832,11,0,16.0,4.0,1007,29388
1833,11,0,16.0,4.0,878,29016
1834,11,0,16.0,4.0,664,26102
1835,11,0,32.0,4.0,607,27404
1836,11,0,16.0,4.0,645,19344
1837,11,0,128.0,4.0,879,29698
1838,11,0,32.0,4.0,742,24056
1839,11,0,32.0,4.0,859,24862
1840,11,0,32.0,4.0,868,24614
1841,11,0,32.0,4.0,808,23560
1842,11,0,32.0,4.0,901,23498
1843,11,0,32.0,4.0,564,23746
1844,11,0,32.0,4.0,958,25110
1845,11,0,16.0,4.0,562,24428
1846,11,0,32.0,4.0,883,24986
1847,11,0,32.0,4.0,1026,23002
1848,11,0,32.0,4.0,999,25916
1849,11,0,16.0,4.0,617,26598
1850,11,0,32.0,4.0,962,24180
1851,11,0,16.0,4.0,1073,25668
1852,11,0,16.0,4.0,683,28272
1853,11,0,32.0,4.0,736,27528
1854,11,0,32.0,4.0,750,26784
1855,11,0,16.0,4.0,992,25482
1856,11,0,16.0,4.0,1031,27404
1857,11,0,32.0,4.0,704,24986
1858,11,0,16.0,4.0,725,27094
1859,11,0,16.0,4.0,567,24552
1860,11,0,16.0,4.0,747,27714
1861,11,0,32.0,4.0,925,27280
1862,11,0,32.0,4.0,669,24738
1863,11,0,16.0,4.0,731,19716
1864,11,0,32.0,4.0,1014,26908
1865,11,0,16.0,4.0,898,28334
1866,11,0,32.0,4.0,625,23684
1867,11,0,16.0,4.0,794,25792
1868,11,0,32.0,4.0,624,22196
1869,11,0,32.0,4.0,675,26288
1870,11,0,16.0,4.0,810,27466
1871,11,0,32.0,4.0,1064,23622
1872,11,0,32.0,4.0,601,23932
1873,11,0,32.0,4.0,901,24552
1874,11,0,16.0,4.0,734,20708
1875,11,0,32.0,4.0,957,25668
1876,11,0,16.0,4.0,740,21390
1877,11,0,16.0,4.0,801,23002
1878,11,0,32.0,4.0,667,22444
1879,11,0,16.0,4.0,1052,21328
1880,11,0,32.0,4.0,798,24924
1881,11,0,32.0,4.0,604,28396
1882,11,0,32.0,4.0,981,26536
1883,11,0,16.0,4.0,575,29202
1884,11,0,32.0,4.0,954,23994
1885,11,0,32.0,4.0,672,25358
1886,11,0,16.0,4.0,920,21204
1887,11,0,32.0,4.0,871,26102
1888,11,0,16.0,4.0,1032,22134
1889,11,0,32.0,4.0,1066,26908
1890,11,0,32.0,4.0,1054,23622
1891,11,0,16.0,4.0,1050,22444
1892,11,0,32.0,4.0,756,29822
1893,11,0,32.0,4.0,668,24118
1894,11,0,32.0,4.0,855,23188
1895,11,0,16.0,4.0,730,21824
1896,11,0,16.0,4.0,797,23870
1897,11,0,16.0,4.0,759,22754
1898,11,0,16.0,4.0,664,14570
1899,11,0,16.0,4.0,791,25854
1900,11,0,16.0,4.0,584,25110
1901,11,0,32.0,4.0,653,23312
1902,11,0,512.0,0.25,930,18910
